Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Discipline,Subdiscipline,Artistic Process,Anchor Standard,Description
Arts,PK.DA.Cr1,TK,0,0,Dance,,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression.
Essential Question(s): Where do choreographers get ideas for dances?
Process Component(s): Explore

Performance Standard(s):
a. Respond in movement to a variety of sensory stimuli (e.g., music/sound, visual, tactile).
b. Find a different way to do several basic locomotor and non-locomotor movements."
Arts,PK.DA:Cr2,TK,0,0,Dance,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: The elements of dance, dance structures, and choreographic devices serve as both a foundation and a departure point for choreographers.
Essential Question(s): What influences choice-making in creating choreography?
Process Component(s): Plan

Performance Standard(s):
a. Improvise dance that starts and stops on cue.
b. Engage in dance experiences moving alone or with a partner."
Arts,PK.DA:Cr3,TK,0,0,Dance,,Creating,3: Refine and complete artistic work,"Enduring Understanding: Choreographers analyze, evaluate, refine, and document their work to communicate meaning
Essential Question(s): How do choreographers use self-reflection, feedback from others, and documentation to improve the quality of their work?
Process Component(s): Revise

Performance Standard(s):
Respond to suggestions for changing movement through guided improvisational experiences."
Arts,PK.DA:Pr4,TK,0,0,Dance,,Performing,"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: Space, time, and energy are basic elements of dance.
Essential Question(s): How do dancers work with space, time and energy to communicate artistic expression?
Process Component(s): Express

Performance Standard(s):
a. Identify and demonstrate directions for moving the body in general space (e.g., forward, backwards, sideways, up, down, and turning) and finding and returning to a place in space.
b. Identify speed of movement as fast or slow. Move to varied rhythmic sounds at different tempi.
c. Move with opposing dynamics."
Arts,PK.DA:Pr5,TK,0,0,Dance,,Performing,5: Develop and refine artistic techniques and work for presentation,"Enduring Understanding: Dancers use the mind-body connection and develop the body as an instrument for artistry and artistic expression.
Essential Question(s): What must a dancer do to prepare the mind and body for artistic expression?
Process Component(s): Embody

Performance Standard(s):
a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships.
b. Move in general space and start and stop on cue while maintaining personal space.
c. Identify and move body parts and repeat movements upon request."
Arts,PK.DA:Pr6,TK,0,0,Dance,,Performing,6: Convey meaning through the presentation of artistic work,"Enduring Understanding: Dance performance is an interaction between performer, production elements, and audience that heightens and amplifies artistic expression.
Essential Question(s): How does a dancer heighten artistry in a public performance?
Process Component(s): Present

Performance Standard(s):
a. Dance for others in a designated area or space.
b. Use a prop as part of a dance."
Arts,PK.DA:Re7,TK,0,0,Dance,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: Dance is perceived and analyzed to comprehend its meaning.
Essential Question(s): How is a dance understood?
Process Component(s): Analyze

Performance Standard(s):
a. Identify a movement in a dance by repeating it.
b. Demonstrate an observed or performed dance movement."
Arts,PK.DA:Re8,TK,0,0,Dance,,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: Dance is interpreted by considering intent, meaning, and artistic expression as communicated through the use of the body, elements of dance, dance technique, dance structure, and context.
Essential Question(s): How is dance interpreted?
Process Component(s): Interpret

Performance Standard(s):
Observe a movement and share impressions."
Arts,PK.DA:Re9,TK,0,0,Dance,,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: Criteria for evaluating dance vary across genres, styles, and cultures
Essential Question(s): What criteria are used to evaluate dance?
Process Component(s): Critique

Performance Standard(s):
Find a movement in a dance that was fun to watch. Repeat it and explain why it is fun to watch and do."
Arts,PK.DA:Cn10,TK,0,0,Dance,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: As dance is experienced, all personal experiences, knowledge, and contexts are integrated and synthesized to interpret meaning.
Essential Question(s): How does dance deepen our understanding of ourselves, other knowledge, and events around us?
Process Component(s): Synthesize

Performance Standard(s):
a. Recognize an emotion expressed in dance movement that is watched or performed.
b. Observe a dance work. Identify and imitate a movement from the dance, and ask a question about the dance."
Arts,PK.DA:Cn11,TK,0,0,Dance,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: Dance literacy includes deep knowledge and perspectives about societal, cultural, historical, and community contexts.
Essential Question(s): How does knowing about societal, cultural, historical and community experiences expand dance literacy?
Process Component(s): Relate

Performance Standard(s):
Show a dance movement experienced at home or elsewhere."
Arts,PK.MA:Cr1,TK,0,0,Media Arts,,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: Media arts ideas, works, and processes are shaped by the imagination, creative processes, and by experiences, both within and outside of the arts.
Essential Question(s): How do media artists generate ideas? How can ideas for media arts productions be formed and developed to be effective and original?
Process Component(s): Conceive

Performance Standard(s):
Share ideas for media artworks through guided exploration of tools, methods, and imagining."
Arts,PK.MA:Cr2,TK,0,0,Media Arts,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: Media artists plan, organize, and develop creative ideas and models into process structures that can effectively realize the artistic idea.
Essential Question(s): How do media artists organize and develop ideas and models into process structures to achieve the desired end product?
Process Component(s): Develop

Performance Standard(s):
With guidance, form ideas into plans or models for media arts productions."
Arts,PK.MA:Cr3,TK,0,0,Media Arts,,Creating,3: Refine and complete artistic work,"Enduring Understanding: The forming, integration, and refinement of aesthetic components, principles, and processes creates purpose, meaning, and artistic quality in media artworks.
Essential Question(s): What is required to produce a media artwork that conveys purpose, meaning, and artistic quality? How do media artists refine their work?
Process Component(s): Construct

Performance Standard(s):
a. Make and capture media arts content, freely and in guided practice, in media arts productions.
b. Attempt and share expressive effects, freely and in guided practice, in creating media "
