Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Strand,Substrand,Description
World Languages,WL.CM1.N,Novice,0,12,Communication,Interpretive Communication,"Standard:
Demonstrate understanding of the general meaning and some basic information on very familiar common daily topics. Recognize memorized words, phrases, and simple sentences in authentic texts that are spoken, written, or signed.

Goal:
Students demonstrate understanding, interpret, and analyze what is heard, read, or viewed on a variety of topics, from authentic texts. They use technology, when appropriate, to access information."
World Languages,WL.CM2.N,Novice,0,12,Communication,Interpersonal Communication,"Standard:
Participate in real-world, spoken, written, or signed conversations on very familiar topics. Use memorized words, phrases, and simple sentences, and questions in highly predictable common daily settings.

Goal:
Students interact and negotiate meaning in a variety of real-world settings and for multiple purposes, in spoken, signed, or written conversations. They use technology as appropriate, in order to collaborate, to share information, reactions, feelings, and opinions."
World Languages,WL.CM3.N,Novice,0,12,Communication,Presentational Communication,"Standard:
Present information in culturally appropriate ways on very familiar common daily topics using memorized words, phrases, and simple sentences through spoken, written, or signed language. Use the most suitable media and technologies to present and publish.

Goal:
Students present information, concepts, and ideas on a variety of topics and for multiple purposes, in culturally appropriate ways. They adapt to various audiences of listeners, readers, or viewers, using the most suitable media and technologies to present and publish."
World Languages,WL.CM4.N,Novice,0,12,Communication,Settings for Communication,"Standard:
Recognize opportunities to use age-appropriate, culturally authentic, real-world, and academic language in highly predictable common daily settings within target-language communities in the United States and around the world.

Goal:
Students use language in highly predictable daily settings (Novice); transactional and some informal settings (Intermediate); most informal and formal settings (Advanced); informal, formal, and professional settings, and unfamiliar and problem situations (Superior) in their communities and in the globalized world. 
Students recognize (Novice), participate in (Intermediate), initiate (Advanced), or sustain (Superior) language use opportunities outside the classroom and set goals while reflecting on progress, and use language for enjoyment, enrichment, and advancement."
World Languages,WL.CM5.N,Novice,0,12,Communication,Receptive Structures in Service of Communication,"Standard:
Demonstrate understanding of words, phrases (signs and fingerspelling in ASL), and simple sentences on very familiar common daily topics. Use orthography, phonology, ASL parameters, and very basic sentence-level elements (morphology and/or syntax).

Goal:
Students use the following structures to communicate: sounds, parameters, and writing systems (Novice); basic word and sentence formation (Intermediate); structures for major time frames and text structures for paragraph-level discourse (Advanced); all structures and text structures for extended discourse (Superior). 
Students use the following language text types to communicate: learned words, signs and fingerspelling, and phrases (Novice); sentences and strings of sentences (Intermediate); paragraphs and strings of paragraphs (Advanced); or coherent, cohesive multi-paragraph texts (Superior)."
World Languages,WL.CM6.N,Novice,0,12,Communication,Productive Structures in Service of Communication,"Standard:
Communicate about very familiar common daily topics using words and phrases (signs and fingerspelling in ASL), and simple sentences. Use orthography, phonology or ASL parameters, and very basic sentence-level elements (morphology and/or syntax).

Goal:
Students use the following structures to communicate: sounds, parameters, and writing systems (Novice); basic word and sentence formation (Intermediate); structures for major time frames and text structures for paragraph-level discourse (Advanced); all structures and text structures for extended discourse (Superior). 
Students use the following language text types to communicate: learned words, signs and fingerspelling, and phrases (Novice); sentences and strings of sentences (Intermediate); paragraphs and strings of paragraphs (Advanced); or coherent, cohesive multi-paragraph texts (Superior)."
World Languages,WL.CM7.N,Novice,0,12,Communication,Language Comparisons in Service of Communication,"Standard:
Identify similarities and differences in the orthography, phonology, ASL parameters, and very basic sentence-level elements (morphology and/or syntax) of the languages known.

Goal:
To interact with communicative competence, students use the target language to investigate, explain, and reflect on the nature of language through comparisons of similarities and differences in the target language and the language(s) they know."
World Languages,WL.CL1.N,Novice,0,12,Cultures,Culturally Appropriate Interaction,"Standard:
Use age-appropriate gestures and expressions in very familiar, common daily settings.

Goal:
Students interact with cultural competence and understanding."
World Languages,WL.CL2.N,Novice,0,12,Cultures,"Cultural Products, Practices, and Perspectives","Standard:
Experience, recognize, and explore the relationships among typical age-appropriate target cultures' products, practices, and perspectives in culturally appropriate ways in very familiar common daily settings.

Goal:
To interact with cultural competence, students demonstrate understanding and use the target language to investigate, explain, and reflect on the relationships among the products cultures produce, the practices cultures manifest, and the perspectives that underlie them."
World Languages,WL.CL3.N,Novice,0,12,Cultures,Cultural Comparisons,"Standard:
Identify some similarities and differences among very familiar, common daily products, practices, and perspectives in the mainstream cultures of the United States, the students' own cultures, and the target cultures.

Goal:
To interact with cultural competence, students use the target language to investigate, explain, and reflect on the nature of culture through comparisons of similarities and differences in the target cultures and the culture(s) they know."
World Languages,WL.CL4.N,Novice,0,12,Cultures,Intercultural Influences,"Standard:
Identify cultural borrowings.

Goal:
To interact with intercultural competence, students demonstrate understanding and use the target language to investigate how cultures influence each other over time."
World Languages,WL.CN1.N,Novice,0,12,Connections,Connections to Other Disciplines,"Standard:
Acquire, exchange, and present information primarily in the target language about very familiar common daily elements of life and age-appropriate academic content across disciplines.

Goal:
To function in real-world situations, academic, and career-related settings, students build, reinforce, and expand their knowledge of other disciplines using the target language to develop critical thinking and solve problems."
World Languages,WL.CN2.N,Novice,0,12,Connections,Diverse Perspectives and Distinctive Viewpoints,"Standard:
Recognize diverse perspectives and distinctive viewpoints on very familiar common daily topics, primarily in the target language, from age-appropriate authentic materials from the target cultures.

Goal:
To function in real-world situations in academic and career-related settings, students access and evaluate information and diverse perspectives that are readily or only available through the language and its cultures."
World Languages,WL.CN2.I,Intermediate,0,12,Connections,Diverse Perspectives and Distinctive Viewpoints,"Standard:
Identify diverse perspectives and distinctive viewpoints on topics related to self and the immediate environment in the target language from age-appropriate authentic materials from the target cultures.

Goal:
To function in real-world situations in academic and career-related settings, students access and evaluate information and diverse perspectives that are readily or only available through the language and its cultures."
