Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Course,Description
History-Social Science,HSS-K.1,K,0,0,"Learning and Working Now and Long Ago, Grade K","Standard:
Students understand that being a good citizen involves acting in certain ways."
History-Social Science,HSS-K.1.1,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Follow rules, such as sharing and taking turns, and know the consequences of breaking them."
History-Social Science,HSS-K.1.2,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Learn examples of honesty, courage, determination, individual responsibility, and patriotism in American and world history from stories and folklore."
History-Social Science,HSS-K.1.3,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Know beliefs and related behaviors of characters in stories from times past and understand the consequences of the characters' actions."
History-Social Science,HSS-K.2,K,0,0,"Learning and Working Now and Long Ago, Grade K","Standard:
Students recognize national and state symbols and icons such as the national and state flags, the bald eagle, and the Statue of Liberty."
History-Social Science,HSS-K.3,K,0,0,"Learning and Working Now and Long Ago, Grade K","Standard:
Students match simple descriptions of work that people do and the names of related jobs at the school, in the local community, and from historical accounts."
History-Social Science,HSS-K.4,K,0,0,"Learning and Working Now and Long Ago, Grade K","Standard:
Students compare and contrast the locations of people, places, and environments and describe their characteristics."
History-Social Science,HSS-K.4.1,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Determine the relative locations of objects using the terms near/far, left/right, and behind/in front."
History-Social Science,HSS-K.4.2,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Distinguish between land and water on maps and globes and locate general areas referenced in historical legends and stories."
History-Social Science,HSS-K.4.3,K,0,0,"Learning and Working Now and Long Ago, Grade K","Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Identify traffic symbols and map symbols (e.g., those for land, water, roads, cities)."
