Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Subject Area,Domain,Cluster,Description
English Language Arts,L.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
a. Print many upper- and lowercase letters.
b. Use frequently occurring nouns and verbs.
c. Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).
d. Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).
e. Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).
f. Produce and expand complete sentences in shared language activities."
English Language Arts,L.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.
a. Capitalize the first word in a sentence and the pronoun I.
b. Recognize and name end punctuation.
c. Write a letter or letters for most consonant and short-vowel sounds (phonemes).
d. Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
English Language Arts,L.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Knowledge of Language,"Standard:
(Begins in grade 2)"
English Language Arts,L.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
a. Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).
b. Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word"
English Language Arts,L.K.5,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
With guidance and support from adults, explore word relationships and nuances in word meanings.
a. Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.
b. Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
c. Identify real-life connections between words and their use (e.g., note places at school that are colorful).
d. Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
English Language Arts,L.K.6,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
English Language Arts,RF.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Print Concepts,"Standard:
Demonstrate understanding of the organization and basic features of print.
a. Follow words from left to right, top to bottom, and page by page.
b. Recognize that spoken words are represented in written language by specific sequences of letters.
c. Understand that words are separated by spaces in print.
d. Recognize and name all upper- and lowercase letters of the alphabet."
English Language Arts,RF.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Phonological Awareness,"Standard:
Demonstrate understanding of spoken words, syllables, and sounds (phonemes).
a. Recognize and produce rhyming words.
b. Count, pronounce, blend, and segment syllables in spoken words.
c. Blend and segment onsets and rimes of single-syllable spoken words.
d. Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)
e. Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.
f. Blend two to three phonemes into recognizable words. CA

Footnote:
*Words, syllables, or phonemes written in /slashes/ refer to their pronunciation or phonology. Thus, /CVC/ is a word with three phonemes regardless of the number of letters in the spelling of the word."
English Language Arts,RF.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Phonics and Word Recognition,"Standard:
Know and apply grade-level phonics and word analysis skills in decoding words both in isolation and in text. CA
a. Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sounds or many of the most frequent sounds for each consonant.
b. Associate the long and short sounds with common spellings (graphemes) for the five major vowels. (Identify which letters represent the five major vowels [Aa, Ee, Ii, Oo, and Uu] and know the long and short sound of each vowel. More complex long vowel graphemes and spellings are targeted in the grade 1 phonics standards.) CA
c. Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).
d. Distinguish between similarly spelled words by identifying the sounds of the letters that differ."
English Language Arts,RF.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Fluency,"Standard:
Read emergent-reader texts with purpose and understanding."
