Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Content Area,Overarching Content Standard,Description
Health Education,K.1.1.A,Kindergarten,0,0,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Explain why medicines are used."
Health Education,K.1.1.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Explain that living things grow and mature."
Health Education,K.1.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify a variety of emotions."
Health Education,K.1.1.N,Kindergarten,0,0,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Name a variety of healthy foods and explain why they are necessary for good health."
Health Education,K.1.1.P,Kindergarten,0,0,Personal and Community Health,1: Essential Concepts,"Standard:
Identify effective dental and personal hygiene practices."
Health Education,K.1.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify safety rules for the home, the school, and the community."
Health Education,K.1.10.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify people who are strangers and how to avoid contact with strangers."
Health Education,K.1.11.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Demonstrate how to ask trusted adults for help."
Health Education,K.1.12.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Define and explain the dangers of weapons.[1]

Footnote:
[1] See Education Code (EC) Section 49330 and the Glossary for the legal definition of a weapon."
Health Education,K.1.13.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Explain the importance of telling a trusted adult if you see or hear about someone having a weapon.[2]

Footnote:
[2] EC Section 49330."
Health Education,K.1.2.A,Kindergarten,0,0,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Explain that medicines can be helpful or harmful."
Health Education,K.1.2.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Describe their own physical characteristics."
Health Education,K.1.2.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe the characteristics of families."
Health Education,K.1.2.N,Kindergarten,0,0,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Identify a variety of healthy snacks."
Health Education,K.1.2.P,Kindergarten,0,0,Personal and Community Health,1: Essential Concepts,"Standard:
Describe sun-safety practices."
Health Education,K.1.2.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify emergency situations."
Health Education,K.1.3.A,Kindergarten,0,0,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Recognize that medicines should be taken only under the supervision of a trusted adult."
Health Education,K.1.3.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Name ways in which people are similar and ways in which they are different."
Health Education,K.1.3.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify trusted adults at home and at school."
Health Education,K.1.3.N,Kindergarten,0,0,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Describe the benefits of being physically active."
Health Education,K.1.3.P,Kindergarten,0,0,Personal and Community Health,1: Essential Concepts,"Standard:
Define ""germs."""
Health Education,K.1.3.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Explain ways to stay safe when riding in a bus or other vehicle."
Health Education,K.1.4.A,Kindergarten,0,0,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Recognize that some household products are harmful if ingested or inhaled."
Health Education,K.1.4.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Identify trusted adults who promote healthy growth and development (e.g., physicians, nurses, dentists, and optometrists)."
Health Education,K.1.4.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe characteristics that make each individual unique."
Health Education,K.1.4.N,Kindergarten,0,0,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Recognize the importance of a healthy breakfast."
Health Education,K.1.4.P,Kindergarten,0,0,Personal and Community Health,1: Essential Concepts,"Standard:
Explain why the transmission of germs may be harmful to health."
Health Education,K.1.4.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Distinguish between appropriate and inappropriate touching."
Health Education,K.1.5.A,Kindergarten,0,0,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Recognize that tobacco smoke is harmful to health and should be avoided."
Health Education,K.1.5.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Name body parts and their functions."
Health Education,K.1.5.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe and practice situations when it is appropriate to use ""Please,"" ""Thank you,"" ""Excuse me,"" and ""I'm sorry."""
Health Education,K.1.5.P,Kindergarten,0,0,Personal and Community Health,1: Essential Concepts,"Standard:
Identify practices that are good for the environment, such as turning off lights and water, recycling, and picking up trash."
Health Education,K.1.5.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Explain that everyone has the right to tell others not to touch his or her body."
Health Education,K.1.6.G,Kindergarten,0,0,Growth and Development,1: Essential Concepts,"Standard:
Name and describe the five senses."
Health Education,K.1.6.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Describe school rules about getting along with others."
