Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Domain,Discipline,Conceptual Category,Description
Mathematics,K.CC.1,K,0,0,Counting and Cardinality,,,"Cluster:
Know number names and the count sequence.

Standard:
Count to 100 by ones and by tens."
Mathematics,K.CC.2,K,0,0,Counting and Cardinality,,,"Cluster:
Know number names and the count sequence.

Standard:
Count forward beginning from a given number within the known sequence (instead of having to begin at 1)."
Mathematics,K.CC.3,K,0,0,Counting and Cardinality,,,"Cluster:
Know number names and the count sequence.

Standard:
Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects)."
Mathematics,K.CC.4.a,K,0,0,Counting and Cardinality,,,"Cluster:
Count to tell the number of objects.

Standard:
Understand the relationship between numbers and quantities; connect counting to cardinality. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
Mathematics,K.CC.4.b,K,0,0,Counting and Cardinality,,,"Cluster:
Count to tell the number of objects.

Standard:
Understand the relationship between numbers and quantities; connect counting to cardinality. Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted."
Mathematics,K.CC.4.c,K,0,0,Counting and Cardinality,,,"Cluster:
Count to tell the number of objects.

Standard:
Understand the relationship between numbers and quantities; connect counting to cardinality. Understand that each successive number name refers to a quantity that is one larger."
Mathematics,K.CC.5,K,0,0,Counting and Cardinality,,,"Cluster:
Count to tell the number of objects.

Standard:
Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects."
Mathematics,K.CC.6,K,0,0,Counting and Cardinality,,,"Cluster:
Compare numbers.

Standard:
Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.

Footnote:
Includes groups with up to ten objects."
Mathematics,K.CC.7,K,0,0,Counting and Cardinality,,,"Cluster:
Compare numbers.

Standard:
Compare two numbers between 1 and 10 presented as written numerals."
Mathematics,K.G.1,K,0,0,Geometry,,,"Cluster:
Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).

Standard:
Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."
