Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Disciplinary Core Idea,Cross Cutting Concept,Science & Engineering Practice,Content Area,Description
Science (CA NGSS),K-2-ETS1-1,K,0,0,ETS1.A: Defining and Delimiting Engineering Problems,,SEP-1: Asking Questions and Defining Problems,"Engineering, Technology, and Applications of Science","Title: K-2-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.

Disciplinary Core Idea(s):
ETS1.A: Defining and Delimiting Engineering Problems
A situation that people want to change or create can be approached as a problem to be solved through engineering.

Asking questions, making observations, and gathering information are helpful in thinking about problems.

Before beginning to design a solution, it is important to clearly understand the problem.

Science & Engineering Practices: Asking Questions and Defining Problems 
Ask questions based on observations to find more information about the natural and/or designed world(s).
Define a simple problem that can be solved through the development of a new or improved object or tool.

Crosscutting Concepts: N/A

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
RI.2.1: Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.
W.2.6: With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.
W.2.8: Recall information from experiences or gather information from provided sources to answer a question.
                                                                                                                                                                                                                                                            
Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics.
MP.5: Use appropriate tools strategically.

DCI Connections:
Connections to K-2-ETS1.A: Defining and Delimiting Engineering Problems include: 
Kindergarten: K-PS2-2; K-ESS3-2

Articulation across grade-bands: 3-5.ETS1.A; 3-5.ETS1.C"
Science (CA NGSS),K-2-ETS1-2,K,0,0,ETS1.B: Developing Possible Solutions,CCC-6: Structure and Function,SEP-2: Developing and Using Models,"Engineering, Technology, and Applications of Science","Title: K-2-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.

Disciplinary Core Idea(s):
ETS1.B: Developing Possible Solutions
Designs can be conveyed through sketches, drawings, or physical models. These representations are useful in communicating ideas for a problem's solutions to other people.

Science & Engineering Practices: Developing and Using Models
Develop a simple model based on evidence to represent a proposed object or tool.

Crosscutting Concepts: Structure and Function
The shape and stability of structures of natural and designed objects are related to their function(s).

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
SL.2.5: Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings.

DCI Connections:
Connections to K-2-ETS1.B: Developing Possible Solutions to Problems include: 
Kindergarten: K-ESS3-3
First Grade: 1-PS4-4
Second Grade:  2-LS2-2

Articulation across grade-bands:   3-5.ETS1.A ; 3-5.ETS1.B ; 3-5.ETS1.C"
Science (CA NGSS),K-2-ETS1-3,K,0,0,ETS1.C: Optimizing the Design Solution,,SEP-4: Analyzing and Interpreting Data,"Engineering, Technology, and Applications of Science","Title: K-2-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.

Disciplinary Core Idea(s):
ETS1.C: Optimizing the Design Solution
Because there is always more than one possible solution to a problem, it is useful to compare and test designs.

Science & Engineering Practices: Analyzing and Interpreting Data
Analyze data from tests of an object or tool to determine if it works as intended.

Crosscutting Concepts: N/A

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
W.2.6: With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.
W.2.8: Recall information from experiences or gather information from provided sources to answer a question. 

Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics. 
MP.5: Use appropriate tools strategically.

DCI Connections:
Connections to K-2-ETS1.C: Optimizing the Design Solution include: 
Second Grade: 2-ESS2-1     

Articulation across grade-bands: 3-5.ETS1.A; 3-5.ETS1.B; 3-5.ETS1.C"
Science (CA NGSS),K-ESS2-1,K,0,0,ESS2.D: Weather and Climate,CCC-1: Patterns,SEP-4: Analyzing and Interpreting Data,Earth and Space Science,"Title: K-ESS2 Earth's Systems

Performance Expectation: Use and share observations of local weather conditions to describe patterns over time.  [Clarification Statement: Examples of qualitative observations could include descriptions of the weather (such as sunny, cloudy, rainy, and warm); examples of quantitative observations could include numbers of sunny, windy, and rainy days in a month. Examples of patterns could include that it is usually cooler in the morning than in the afternoon and the number of sunny days versus cloudy days in different months.] [Assessment Boundary: Assessment of quantitative observations limited to whole numbers and relative measures such as warmer/cooler.]

Disciplinary Core Idea(s):
ESS2.D: Weather and Climate
Weather is the combination of sunlight, wind, snow or rain, and temperature in a particular region at a particular time. People measure these conditions to describe and record the weather and to notice patterns over time.

Science & Engineering Practices: Analyzing and Interpreting Data 
Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions.

Connections to Nature of Science:

Science Knowledge is Based on Empirical Evidence
Scientists look for patterns and order when making observations about the world.

Crosscutting Concepts: Patterns 
Patterns in the natural world can be observed, used to describe phenomena, and used as evidence.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
W.K.7: Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them). 

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics. 
K.CC.1-3: Know number names and the count sequence. 
K.MD.1: Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object. 
K.MD.3: Classify objects into given categories; count the number of objects in each category and sort the categories by count.
K.CC.4-5: Count to tell the number of objects.

DCI Connections:
Connections to other DCIs in kindergarten: N/A

Articulation across grade-levels: 2.ESS2.A; 3.ESS2.D; 4.ESS2.A"
Science (CA NGSS),K-ESS2-2,K,0,0,"ESS2.E: Biogeology, ESS3.C: Human Impacts on Earth Systems",CCC-4: Systems and Systems Models,SEP-7: Engaging in Argument From Science,Earth and Space Science,"Title: K-ESS2 Earth's Systems

Performance Expectation: Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.  [Clarification Statement: Examples of plants and animals changing their environment could include a squirrel digs in the ground to hide its food and tree roots can break concrete.]

Disciplinary Core Idea(s):
ESS2.E: Biogeology
Plants and animals can change their environment.

ESS3.C: Human Impacts on Earth Systems
Things that people do to live comfortably can affect the world around them. But they can make choices that reduce their impacts on the land, water, air, and other living things. (secondary to K-ESS2-2)

Science & Engineering Practices: Engaging in Argument from Evidence
Construct an argument with evidence to support a claim.

Crosscutting Concepts: Systems and System Models
Systems in the natural and designed world have parts that work together.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
RI.K.1: With prompting and support, ask and answer questions about key details in a text. 
W.K.1: Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book. 
W.K.2: Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.

DCI Connections:
Connections to other DCIs in kindergarten: N/A
Articulation across grade-levels: 4.ESS2.E; 5.ESS2.A"
Science (CA NGSS),K-ESS3-1,K,0,0,ESS3.A: Natural Resources,CCC-4: Systems and Systems Models,SEP-2: Developing and Using Models,Earth and Space Science,"Title: K-ESS3 Earth and Human Activity

Performance Expectation: Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.  [Clarification Statement:  Examples of relationships could include that deer eat buds and leaves, therefore, they usually live in forested areas; and, grasses need sunlight so they often grow in meadows. Plants, animals, and their surroundings make up a system.]

Disciplinary Core Idea(s):
ESS3.A: Natural Resources
Living things need water, air, and resources from the land, and they live in places that have the things they need. Humans use natural resources for everything they do.

Science & Engineering Practices: Developing and Using Models 
Use a model to represent relationships in the natural world.

Crosscutting Concepts: Systems and System Models
Systems in the natural and designed world have parts that work together.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
SL.K.5: Add drawings or other visual displays to descriptions as desired to provide additional detail.

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics.
K.CC.1-3: Know number names and the count sequence.
K.CC.4-5: Count to tell the number of objects.
K.CC.6-7 :Compare numbers.

DCI Connections:
Connections to other DCIs in kindergarten: N/A

Articulation across grade-levels: 1.LS1.A; 5.LS2.A; 5.ESS2.A"
Science (CA NGSS),K-ESS3-2,K,0,0,"ESS3.B: Natural Hazards, ETS1.A: Defining and Delimiting Engineering Problems",CCC-2: Cause and Effect: Mechanism and Explanation,SEP-1: Asking Questions and Defining Problems,Earth and Space Science,"Title: K-ESS3 Earth and Human Activity

Performance Expectation: Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.*  [Clarification Statement: Emphasis is on local forms of severe weather.]

Disciplinary Core Idea(s):
ESS3.B: Natural Hazards
Some kinds of severe weather are more likely than others in a given region. Weather scientists forecast severe weather so that the communities can prepare for and respond to these events.

ETS1.A: Defining and Delimiting Engineering Problems
Asking questions, making observations, and gathering information are helpful in thinking about problems. (secondary to K-ESS3-2)

Science & Engineering Practices: Asking Questions and Defining Problems
Ask questions based on observations to find more information about the designed world.

Crosscutting Concepts: Cause and Effect 
Events have causes that generate observable patterns.

Connections to Engineering, Technology, and Applications of Science:

Interdependence of Science, Engineering, and Technology
People encounter questions about the natural world every day.

Influence of Engineering, Technology, and Science on Society and the Natural World 
People depend on various technologies in their lives; human life would be very different without technology.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
RI.K.1: With prompting and support, ask and answer questions about key details in a text. 
SL.K.3: Ask and answer questions in order to seek help, get information, or clarify something that is not understood.

Mathematics
MP.4: Model with mathematics.
K.CC.1-3: Know number names and the count sequence. 
K.CC.4-5: Count to tell the number of objects. 
K.CC.6-7: Compare numbers.

DCI Connections:
Connections to other DCIs in this grade-band: K.ETS1.A 

Articulation across grade-bands: 2.ESS1.C; 3.ESS3.B; 4.ESS3.B"
Science (CA NGSS),K-ESS3-3,K,0,0,"ESS3.C: Human Impacts on Earth Systems, ETS1.B: Developing Possible Solutions",CCC-2: Cause and Effect: Mechanism and Explanation,"SEP-8: Obtaining, Evaluating, and Communicating Information",Earth and Space Science,"Title: K-ESS3 Earth and Human Activity

Performance Expectation: Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.*  [Clarification Statement:  Examples of human impact on the land could include cutting trees to produce paper and using resources to produce bottles. Examples of solutions could include reusing paper and recycling cans and bottles.]

Disciplinary Core Idea(s):
ESS3.C: Human Impacts on Earth Systems
Things that people do to live comfortably can affect the world around them. But they can make choices that reduce their impacts on the land, water, air, and other living things.

ETS1.B: Developing Possible Solutions
Designs can be conveyed through sketches, drawings, or physical models. These representations are useful in communicating ideas for a problem's solutions to other people. (secondary to K-ESS3-3)

Science & Engineering Practices: Obtaining, Evaluating, and Communicating Information
Communicate solutions with others in oral and/or written forms using models and/or drawings that provide detail about scientific ideas.

Crosscutting Concepts: Cause and Effect 
Events have causes that generate observable patterns.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
W.K.2: Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.

DCI Connections:
Connections to other DCIs in kindergarten: K.ETS1.A

Articulation across grade-levels:  2.ETS1.B; 4.ESS3.A; 5.ESS3.C"
Science (CA NGSS),K-LS1-1,K,0,0,LS1.C: Organization for Matter and Energy Flow in Organisms,CCC-1: Patterns,SEP-4: Analyzing and Interpreting Data,Life Science,"Title: K-LS1 From Molecules to Organisms: Structures and Processes

Performance Expectation: Use observations to describe patterns of what plants and animals (including humans) need to survive.  [Clarification Statement: Examples of patterns could include that animals need to take in food but plants do not; the different kinds of food needed by different types of animals; the requirement of plants to have light; and, that all living things need water.]

Disciplinary Core Idea(s):
LS1.C: Organization for Matter and Energy Flow in Organisms
All animals need food in order to live and grow. They obtain their food from plants or from other animals. Plants need water and light to live and grow.

Science & Engineering Practices: Analyzing and Interpreting Data
Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions.

Connections to Nature of Science::

Scientific Knowledge is Based on Empirical Evidence
Scientists look for patterns and order when making observations about the world.

Crosscutting Concepts: Patterns 
Patterns in the natural and human designed world can be observed and used as evidence.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

Principle II
The long-term functioning and health of terrestrial, freshwater, coastal, and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
W.K.7: Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).

Mathematics
K.MD.2: Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/ shorter.

DCI Connections:
Connections to other DCIs in kindergarten: N/A

Articulation across grade-levels: 1.LS1.A; 2.LS2.A; 3.LS2.C; 3.LS4.B; 5.LS1.C; 5.LS2.A"
Science (CA NGSS),K-PS2-1,K,0,0,"PS2.A: Forces and Motion, PS2.B: Types of Interactions, PS3.C: Relationship between Energy and Forces",CCC-2: Cause and Effect: Mechanism and Explanation,SEP-3: Planning and Carrying Out Investigations,Physical Science,"Title: K-PS2 Motion and Stability: Forces and Interactions

Performance Expectation: Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.  [Clarification Statement: Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other.] [Assessment Boundary: Assessment is limited to different relative strengths or different directions, but not both at the same time. Assessment does not include non-contact pushes or pulls such as those produced by magnets.]

Disciplinary Core Idea(s):
PS2.A: Forces and Motion
Pushes and pulls can have different strengths and directions.
Pushing or pulling on an object can change the speed or direction of its motion and can start or stop it.

PS2.B: Types of Interactions
When objects touch or collide, they push on one another and can change motion.

PS3.C: Relationship Between Energy and Forces
A bigger push or pull makes things speed up or slow down more quickly. (secondary to K-PS2-1)

Science & Engineering Practices: Planning and Carrying Out Investigations
With guidance, plan and conduct an investigation in collaboration with peers.

Connections to Nature of Science:

Scientific Investigations Use a Variety of Methods
Scientists use different ways to study the world.

Crosscutting Concepts: Cause and Effect 
Simple tests can be designed to gather evidence to support or refute student ideas about causes.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
W.K.7: Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).

Mathematics
MP.2: Reason abstractly and quantitatively.
K.MD.1-2: Describe and compare measurable attributes.

DCI Connections:
Connections to other DCIs in kindergarten: N/A

Articulation across grade-levels: 3.PS2.A; 3.PS2.B; 4.PS3.A"
